T,seed,metric,value
1000,3,cost_pct,-26.992152255350423
1000,3,dCS,3375.928823770595
1000,3,dSolar,1967.4441814236852
1000,3,dGasRent,-3020.167350761989
1000,3,dTotal,2323.205654432295
1000,4,f,0.6369666666666667
1000,4,ratio,0.8810249978291054
1000,4,profit,274.7492182489206
1000,4,gas_M,60.92592090420764
1000,4,gas_E,67.34256802386341
1000,4,gas_total,128.26848892807106
1000,4,gas_total_pct,2.6503663020043438
1000,4,cost_pct,-27.197681968604805
1000,4,dCS,3424.818232344536
1000,4,dSolar,1958.9156275949954
1000,4,dGasRent,-3042.980007791911
1000,4,dTotal,2340.753852147619
1000,5,f,0.6384000000000001
1000,5,ratio,0.8838672732723348
1000,5,profit,274.5797404759127
1000,5,gas_M,61.02713768485534
1000,5,gas_E,67.28366105417892
1000,5,gas_total,128.31079873903425
1000,5,gas_total_pct,2.6509225190875267
1000,5,cost_pct,-27.195509454156532
1000,5,dCS,3431.290178731837
1000,5,dSolar,1954.2965417445293
1000,5,dGasRent,-3044.0272767909855
1000,5,dTotal,2341.5594436853726
1000,6,f,0.6329666666666668
1000,6,ratio,0.8733579291420926
1000,6,profit,275.12869989843153
1000,6,gas_M,60.743054230701425
1000,6,gas_E,67.60121732171649
1000,6,gas_total,128.34427155241792
1000,6,gas_total_pct,2.6949698558213604
1000,6,cost_pct,-27.072123062498225
1000,6,dCS,3389.6197666689186
1000,6,dSolar,1970.2375300465237
1000,6,dGasRent,-3029.484559013081
1000,6,dTotal,2330.372737702367
1000,7,f,0.6369333333333334
1000,7,ratio,0.8808865758971174
1000,7,profit,274.6561354027472
1000,7,gas_M,60.92225934327569
1000,7,gas_E,67.3768033943533
1000,7,gas_total,128.299062737629
1000,7,gas_total_pct,2.606137702896286
1000,7,cost_pct,-27.194677917345455
1000,7,dCS,3431.2497757060155
1000,7,dSolar,1956.2675792629952
1000,7,dGasRent,-3045.118504982488
1000,7,dTotal,2342.3988499865236
1000,8,f,0.6393666666666667
1000,8,ratio,0.8833563359473733
1000,8,profit,274.25808040984344
1000,8,gas_M,61.053143347766444
1000,8,gas_E,67.40126846133533
1000,8,gas_total,128.45441180910177
1000,8,gas_total_pct,2.6380787553049885
1000,8,cost_pct,-27.05797623695361
1000,8,dCS,3421.7588666168413
1000,8,dSolar,1944.5401055554294
1000,8,dGasRent,-3033.125506010413
1000,8,dTotal,2333.1734661618575
1000,9,f,0.6356333333333333
1000,9,ratio,0.8765212469935771
1000,9,profit,274.8879883689849
1000,9,gas_M,60.88102836199335
1000,9,gas_E,67.55198993344861
1000,9,gas_total,128.43301829544197
1000,9,gas_total_pct,2.5925036026222763
1000,9,cost_pct,-27.134214124098268
1000,9,dCS,3419.5417738944707
1000,9,dSolar,1963.8257852443958
1000,9,dGasRent,-3042.772968208923
1000,9,dTotal,2340.594590929936
1000,10,f,0.6337333333333334
1000,10,ratio,0.8740100998789703
1000,10,profit,275.12348793289516
1000,10,gas_M,60.79859461398863
1000,10,gas_E,67.59464643898684
1000,10,gas_total,128.39324105297547
1000,10,gas_total_pct,2.714891420444326
1000,10,cost_pct,-27.051821959847832
1000,10,dCS,3386.886432689713
1000,10,dSolar,1970.2053264620663
1000,10,dGasRent,-3027.9214290857935
1000,10,dTotal,2329.17033006599
1000,11,f,0.6316666666666667
1000,11,ratio,0.8699119553315684
1000,11,profit,275.1414337930648
1000,11,gas_M,60.70899307585467
1000,11,gas_E,67.77985998178067
1000,11,gas_total,128.48885305763534
1000,11,gas_total_pct,2.7679077119465356
1000,11,cost_pct,-26.890333963088143
1000,11,dCS,3355.8852284098575
1000,11,dSolar,1970.6463565249105
1000,11,dGasRent,-3010.6482871370445
1000,11,dTotal,2315.883297797721
1000,12,f,0.6374666666666666
1000,12,ratio,0.8808247702713824
1000,12,profit,274.6120708526729
1000,12,gas_M,60.99176897555387
1000,12,gas_E,67.43243313747838
1000,12,gas_total,128.42420211303227
1000,12,gas_total_pct,2.640726204886632
1000,12,cost_pct,-27.107545033268647
1000,12,dCS,3419.3948539134217
1000,12,dSolar,1954.980427025389
1000,12,dGasRent,-3037.6903761828044
1000,12,dTotal,2336.684904755997
1000,13,f,0.6306999999999999
1000,13,ratio,0.8693984453273615
1000,13,profit,275.39167695515016
1000,13,gas_M,60.606679133268536
1000,13,gas_E,67.6854153181174
1000,13,gas_total,128.29209445138594
1000,13,gas_total_pct,2.748307855617329
1000,13,cost_pct,-27.034991532396937
1000,13,dCS,3368.588751485331
1000,13,dSolar,1977.881173303559
1000,13,dGasRent,-3021.9177835763285
1000,13,dTotal,2324.5521412125545
1000,14,f,0.6370666666666667
1000,14,ratio,0.8797362569456675
1000,14,profit,274.7209943301076
1000,14,gas_M,60.94328658180088
1000,14,gas_E,67.43170590955312
1000,14,gas_total,128.374992491354
1000,14,gas_total_pct,2.63049400483366
1000,14,cost_pct,-27.145221374899414
1000,14,dCS,3421.6903633756083
1000,14,dSolar,1958.3820291730253
1000,14,dGasRent,-3040.9104827448873
1000,14,dTotal,2339.1619098037527
1000,15,f,0.6362666666666665
1000,15,ratio,0.8807993901935682
1000,15,profit,274.6739332855443
1000,15,gas_M,60.89565591387356
1000,15,gas_E,67.3681371421738
